PDGF_RECEPTOR_SIGNALING_NETWORK|5159	5154	56034	5156	5155	80310
POLYMERASE_SWITCHING|5985	5981	5983	5111	5984	10714	5982	5424	57804	5425
STABILIZATION_OF_P53|7157	4193	472
AMINO_ACID_TRANSPORT_ACROSS_THE_PLASMA_MEMBRANE|6519	84889	6541	23428	340024	10991	54407	81539	6510	92745	153201	6542	348932	55089	6520	6509	124935	55117	9056	11254	9057	6533	56301	6542	6539	117247	8140	11136	206358	54716	8501	23657
CASPASE-MEDIATED_CLEAVAGE_OF_CYTOSKELETAL_PROTEINS|4137	841	2620	6709	5339	7431	836	118	2934	28988	839
PYRIMIDINE_METABOLISM|7378	1890
PECAM1_INTERACTIONS|5175	3635	3690	5335	3685	5781	5777
REMOVAL_OF_THE_FLAP_INTERMEDIATE|6118	1763	6119	6117	2237
SIGNALLING_TO_ERKS|4914
RNA_POLYMERASE_II_TRANSCRIPTION|2960	6917	6874	6908	6875	2071	6872	2967	6877	2958	2957	6882	728340	2961	6883	2959	9150	6878	2968	2068	8178	2965	6880	6881	6884
CD28_CO-STIMULATION|940	9402	942	941
SMAC-MEDIATED_APOPTOTIC_RESPONSE|56616
SIGNALLING_TO_RAS|2885	4914	6654
PRESYNAPTIC_FUNCTION_OF_KAINATE_RECEPTORS|2899
RAF_PHOSPHORYLATES_MEK|5604	5894	5605	7529
GLYCOGEN_SYNTHESIS|7360	2632
COMPLEMENT_CASCADE|727	717	721
ABH2_MEDIATED_REVERSAL_OF_ALKYLATION_DAMAGE|121642
SIGNALING_BY_PDGF|5327	5045
BETA_OXIDATION_OF_LAUROYL-COA_TO_DECANOYL-COA-COA|3033	33	1892	3032	3030
CONVERSION_FROM_APC-C-CDC20_TO_APC-C-CDH1_IN_LATE_ANAPHASE|7324	8881	29882	246184	51529	7321	991	51434	10393	64682	8697	51433	996	29945	11065	51343
REGULATION_OF_COMMISSURAL_AXON_PATHFINDING_BY_SLIT_AND_ROBO|64221	9353
MATURATION_OF_NOTCH_PRECURSOR_VIA_PROTEOLYTIC_CLEAVAGE|4851	4853	4854	5045	4855
CREB_PHOSPHORYLATION_THROUGH_THE_ACTIVATION_OF_CAMKII|1385	808
METABOLISM_OF_SEROTONIN|4128	217
PHOSPHORYLATION_OF_CD3_AND_TCR_ZETA_CHAINS|5788	1445	3932	55824	920
OLIGOMERIZATION_OF_CONNEXINS_INTO_CONNEXONS|2705	2706	2697
G2-M_CHECKPOINTS|84126	1111
SEROTONIN_NEUROTRANSMITTER_RELEASE_CYCLE|6616	5864	6571	10815	6857	6812	6844	6804	22999
GPVI-MEDIATED_ACTIVATION_CASCADE|5170	5295	5590	5294	6850	3937	5291	5336	207
APC-CDC20_MEDIATED_DEGRADATION_OF_NEK2A|4751	7314
MRNA_CAPPING|8732	4686	22916	2968	728340	8731	2068	2071	2967	2965
HUMAN_TAK1_ACTIVATES_NFKB_BY_PHOSPHORYLATION_AND_ACTIVATION_OF_IKKS_COMPLEX|5970	1147	8517	3551
HEME_DEGRADATION|645	54658
FORMATION_OF_FIBRIN_CLOT_(CLOTTING_CASCADE)|2159	2158	2147
TRAF6_MEDIATED_INDUCTION_OF_THE_ANTIVIRAL_CYTOKINE_IFN-ALPHA-BETA_CASCADE|148022	6885	7189	10454	257397	23118	7314
RELEASE|956530	956532	956527
SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_7ALPHA-HYDROXYCHOLESTEROL|1582	8647	1593	570	11001	23600	8309	10005	1581	6342	1109	6718	80270	10998	3295
TOLL_LIKE_RECEPTOR_3_(TLR3)_CASCADE|7098	148022
CLEAVAGE_OF_THE_DAMAGED_PYRIMIDINE|6996	23583	4913	10309	8930
BASE-FREE_SUGAR-PHOSPHATE_REMOVAL_VIA_THE_SINGLE-NUCLEOTIDE_REPLACEMENT_PATHWAY|328	5423
NUCLEAR_IMPORT_OF_REV_PROTEIN|7175	23225	5903	4927	23165	5901	9631	1104	9883	11097	8086	3837	9688	9972	129401	8021	8480	23511	4928	79902	81929	10762	348995
AGMATINE_BIOSYNTHESIS|79814
SIGNALLING_TO_ERK5|5598	5607
SIGNAL_ATTENUATION|6464	5595	2885	2887	6654	1398
SODIUM-PROTON_EXCHANGERS|10479	285195
G2-M_DNA_REPLICATION_CHECKPOINT|891	7465	983
MITOCHONDRIAL_TRNA_AMINOACYLATION|92935	79587	23438	10352	25973	3735	55157	51067	57038	80222	10667	23395	2617	55699	124454	27068	5859	57176	54938	57505	79731
P75NTR_RECRUITS_SIGNALLING_COMPLEXES|7189	4804	5584	7314	3654	3551	8878	8767	4615
SIGNALING_BY_TGF_BETA|6497	5045	4089	7040	7048	7046
INTERCONVERSION_OF_POLYAMINES|196743	6303
DUMMY_PATHWAY|25890	9370	165	375790	258	265	266	632	163479	54752	80144	2621	342035	83872	256158	3381	3483	3484	3485	3486	3487	3488	3489	3490	347252	285313	3730	375616	284217	3908	3909	3910	3911	3912	3913	3914	22798	3915	3918	10319	9211	55203	203190	163175	116844	4052	4053	4054	8425	4146	4147	4148	8785	56955	4236	4237	4238	4239	8076	4240	4256	22915	79812	25878	79625	4745	4753	4811	22795	4856	255743	9423	4917	59277	126147	22854	84628	170392	340990	131149	89932	5118	26577	22932	10631	7837	137902	5649	284654	340419	84870	343637	157869	6585	9353	6586	64093	64094	8838	22917	7783	7784	57829	131368	1300	1301	1302	1303	1305	7373	1306	1307	1308	80781	1310	1277	1278	57642	81578	169044	91522	255631	84570	136227	85301	340267	1280	1281	1282	1284	1285	1286	1287	1288	1289	1290	50509	1291	1292	1293	256076	131873	1294	1295	1296	1297	1298	1299	176	54829	63827	633	1101	150356	1634	1833	11082	2331	1404	60484	145864	404037	3339	3617	50939	11081	4060	1463	60506	4969	4958	26254	127435	79883	5549	5553	10394	10216	6695	9806	50859	5552	1462	301	11199	311	312	302	306	307	308	309	310	653145	728113	8416	712	713	714	10882	165257	389941	338761	114897	114898	114899	114900	114902	114904	114905	390664	338872	30835	1178	10462	6320	160364	387837	161198	388512	348174	497190	283971	728276	51267	51266	387836	9976	29121	154790	10143	7123	50856	170482	338339	26253	165530	339390	10332	23601	93978	64581	283420	10584	78989	81035	1464	10675	392617	114794	51705	2219	2220	8547	158326	341640	166752	2817	221914	2719	2239	2262	10082	26585	402635	3263	29094	55600	142683	3956	85329	29124	56891	148003	3957	3958	3960	3963	3964	3965	284194	654346	3998	79748	4153	4582	10071	56667	143662	94025	140453	283463	4583	200958	394263	100507679	4584	4585	4586	727897	4588	4589	100129528	118430	5016	25849	57125	84898	5361	5362	55558	91584	5364	23654	5365	10154	23129	58503	5967	5968	5068	130120	83998	6382	6383	9672	6385	10371	7869	10512	223117	9723	6405	56920	64218	10509	54910	10507	10505	57715	9037	54437	57556	10501	10500	80031	8482	389376	253970	653509	729238	6439	6440	6441	2	144568	102	4185	8038	8751	6868	8749	8728	2515	8748	8747	53616	8745	10863	11086	11085	203102	80332	8756	101	8754	27299	9510	81794	81792	11093	140766	170689	170690	170691	170692	171019	9509	80070	9508	9507	11096	11174	11173	11095	56999	92949	9719	57188	54507	339366	183	259	431705	649	284018	135228	1990	63036	51032	10136	23436	27151	1370	1469	140880	1470	1471	1472	1473	1474	8530	10047	128822	128821	1475	1476	128817	5476	1508	1075	1509	1510	8722	1511	1512	1513	1514	1519	1520	1515	1521	1522	54583	112398	112399	1991	2159	2161	2162	2165	2147	2155	2158	54757	9917	56975	3026	284293	10855	60495	3273	5654	94031	203100	3373	8692	8372	23553	3697	3698	3699	3700	80760	347365	81621	3827	339855	64175	55214	10536	4015	4016	4017	84695	84171	4018	5648	10747	4224	4225	4312	4319	4320	4321	4322	4323	4324	4325	4326	4327	4313	9313	118856	8510	10893	64386	56547	64066	79148	4314	4316	4317	4318	55768	55239	79676	5033	8974	283208	54681	25891	5069	60676	5125	5046	5266	5327	5328	5340	5351	5352	8985	5644	8492	5645	5646	5858	5265	51156	256394	145264	390502	12	5267	5104	866	6906	327657	1992	5273	89778	89777	5275	5055	6317	6318	5268	5269	8710	5271	5272	462	3053	5054	5270	647174	5176	5345	710	871	5274	5276	6590	6677	6768	23213	55959	7051	7052	7053	7047	9333	343641	116179	7076	7077	7078	7079	7092	7093	5651	268	284	285	51378	9068	23452	27329	51129	253935	83854	10218	374	9048	627	27302	9210	650	651	652	653	654	655	353500	656	57795	339479	685	387911	869	147381	643866	140689	147372	6346	6356	6357	6358	6359	6360	6361	6362	6363	6347	6364	6366	6367	6368	6369	6370	10344	10850	56477	6348	414062	6351	9560	388372	6352	6354	6355	55997	653275	8646	91851	25884	23529	1270	1393	9244	51379	49860	1435	1437	1440	1442	1443	1444	1489	6376	2919	3627	6373	6387	10563	9547	2920	2921	6374	6372	3576	4283	50846	10148	1896	1950	25975	51162	80864	255324	2056	2069	356	2246	2255	2256	2257	2258	2259	8823	8822	8817	9965	2247	26281	26291	27006	8074	2248	2249	2250	2251	2252	2253	2254	9982	83888	143282	2277	2312	388698	2323	2487	10468	11167	10272	2657	2662	10220	9518	2658	9573	8200	392255	151449	2661	2668	2688	2689	1839	3054	29915	3082	3083	64399	388697	3439	3446	3447	3448	3449	3451	3440	3452	3441	3442	3443	3444	3445	3456	338376	3458	56832	3467	3479	3481	3549	3586	3589	3592	3593	3596	3600	3603	3605	27190	27189	53342	112744	3606	29949	3552	3553	84639	26525	27179	27178	27177	56300	3557	3558	50604	50616	51561	11009	64806	55801	3562	146433	3565	3567	3569	3574	3578	3623	3624	3625	3626	83729	3630	723961	3640	10022	11172	140862	145501	4254	10637	7044	3952	3976	4049	4050	4192	84466	84465	1953	1954	1955	4485	11223	2660	4803	4838	3084	9542	10718	145957	4902	4908	4909	5008	5154	5155	56034	80310	5196	5197	5228	113791	5473	5617	5623	5764	126638	6271	6281	6282	6283	6284	57402	140576	6273	6274	6275	6276	6277	6278	338324	645922	6279	6280	6285	795	6286	170591	80274	57758	222663	6422	6423	6424	6425	6469	7062	126637	6997	7039	7040	7042	7043	7066	7124	8743	8600	8742	8741
